,Address,City,Date,Latitude,LineType,Name,NoteDescriptions,OFFICE_TELEPHONE,PhoneType,PostalCode,Provider,ProviderCity,ProviderState,QualityScore,SICDesc,State
100,1325 STANDISH PL,ARCADIA,null,34.125157,LANDLINE,KAISER PERMANEN,IsMailable,6268516863,BUSINESS,91006-4568,FRONTIER CALIFORNIA,COVINA,CALIFORNIA,LOW,null,CA
101,null,RICHARDSON,2019-09-04,null,VOIP,ATLAS OBSTETRICS AND GYNECOLOGY DOCTORS,"IsConnected,IsPorted,IsPossiblePortableVOIP",9729071280,BUSINESS,75080,LEVEL 3 COMM - TX,ROANOKE,TEXAS,HIGH,null,TX
102,null,CHICAGO,2019-04-01,null,LANDLINE,NW MEMORIAL HOS,IsPorted,3126953737,BUSINESS,60611,TELEPORT COMM AM-IL,ELWOOD,ILLINOIS,LOW,null,IL
103,null,null,null,null,LANDLINE,null,IsUnknownContact,9792074350,null,null,FRONTIER COMM OF TX,BRYAN,TEXAS,null,null,null
104,13011 S 104TH AVE STE 100,PALOS PARK,2019-07-22,41.653387,VOIP,DR ROY C BLILEY MD PHYSICIANS SURGEONS CARDIOLOGY,"IsMailable,IsConnected,IsPorted",7084783600,BUSINESS,60464-1508,COMCAST PHONE-IL,GENEVA,ILLINOIS,HIGH,null,IL
105,250 COLLEGE AVE,LANCASTER,2002-07-09,40.040495,LANDLINE,LANCASTER REGIONAL MEDICAL CENTER EMERGENCY,"IsMailable,IsConnected,IsPorted",7172918111,BUSINESS,17603-3363,"CTSI, INC. - PA",HARRISBURG,PENNSYLVANIA,HIGH,null,PA
106,2973 MANCHESTER RD,MANCHESTER,2019-02-22,39.660304,LANDLINE,MANCHESTER FAMILY MEDICINE PHYSICIANS SURGEONS,"IsMailable,IsConnected,IsPorted",4103744747,BUSINESS,21102-1802,QUANTUM TELECOM MD,BALTIMORE,MARYLAND,HIGH,null,MD
107,1400 EMELINE AVE,SANTA CRUZ,2018-01-06,null,LANDLINE,SANTA CRUZ COUNTY OF CHILDRENS MEDICAL CLINIC,"IsMailable,IsConnected,IsPorted",8314544100,BUSINESS,95060-1976,TELEPORT COM SANFRAN,YOUNTVILLE,CALIFORNIA,HIGH,"MAYORS' OFFICE,OFFICES OF HEALTH PRACTITIONER",CA
108,443 CLUB DR,MILFORD,null,39.159808,LANDLINE,TAYYAB DIWAN,IsMailable,5135583892,RESIDENTIAL,45150-9757,CINCINNATI BELL,CINCINNATI,OHIO,LOW,null,OH
109,1714 N BROADWAY BLVD,HINTON,null,null,LANDLINE,INTEGRIS FAMILY CARE HINTON CLINIC CLINICS MEDICAL,"IsMailable,IsConnected",4055426131,BUSINESS,73047-9484,HINTON TEL CO,HINTON,OKLAHOMA,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS,OFFICES OF HEALTH PRACTITIONER",OK
110,2138 CAMPUS DR # 90586,DURHAM,2014-01-22,null,LANDLINE,DUKE UNIVERSITY,"IsMailable,IsPorted",9196843950,BUSINESS,27708-0001,FRONTIER COMM AM-NC,RALEIGH,NORTH CAROLINA,LOW,null,NC
111,1120 VIA MIRABEL,PALOS VERDES ESTATES,null,33.791515,LANDLINE,LINDA KATELL,IsMailable,3103735653,RESIDENTIAL,90274-1622,FRONTIER CALIFORNIA,TORRANCE,CALIFORNIA,LOW,null,CA
112,1715 DOUSMAN ST,GREEN BAY,2002-03-07,44.534687,LANDLINE,HUFF AMANDA HALLAS R AUD CCC A PHYSICIANS SURGEONS,"IsMailable,IsConnected,IsPorted",9204051414,BUSINESS,54303-3211,"NET LEC, INC.",GREEN BAY,WISCONSIN,HIGH,"CLINICAL PSYCHOLOGIST,OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS",WI
113,2927 MAXWELL AVE,OAKLAND,2014-10-07,37.780528,VOIP,JARED LEWIS,"IsMailable,IsPorted",9253806655,RESIDENTIAL,94619-3362,COMCAST PHONE - CA,LIVERMORE,CALIFORNIA,LOW,null,CA
114,6267 E 140TH ST S,BIXBY,null,null,UNKNOWN,KUSUM BHANDARI,"IsMailable,IsConnected",9183698615,RESIDENTIAL,74008-4170,BIXBY TELEPHONE CO,BIXBY,OKLAHOMA,HIGH,null,OK
115,null,null,null,null,LANDLINE,null,IsUnknownContact,9075808096,null,null,GENERAL COMM - CLEC,ELMENDORF,ALASKA,null,null,null
116,null,MUNCIE,2019-08-08,null,LANDLINE,CARDINAL HEALTH SYSTEM PHARMACIES,"IsConnected,IsPorted",7657474236,BUSINESS,47302,TELEPORT COMM AM-IN,ACTON,INDIANA,MED,null,IN
117,2 MEDICAL DR STE B,PORT JEFFERSON STATION,2015-06-24,40.928863,LANDLINE,CHAUDRY AZIZ MD DOCTORS PHYSICIANS SURGEONS,"IsMailable,IsConnected,IsPorted",6319281414,BUSINESS,11776-1598,CABLEVSN LGHTPATH NY,PORT JEFFERSON STATI,NEW YORK,HIGH,OFFICES AND CLINICS OF MEDICAL DOCTORS,NY
118,1050 WISHARD BLVD,INDIANAPOLIS,2004-06-25,39.778662,LANDLINE,WISHARD MEMORIAL HOSPITAL,"IsMailable,IsPorted",3176306233,BUSINESS,46202-2872,AMERITECH INDIANA,INDIANAPOLIS,INDIANA,LOW,null,IN
119,null,DOWNEY,null,null,LANDLINE,APPLE CARE HOSPITALIST MEDICAL GROUP,null,5628696317,BUSINESS,90241,FRONTIER CALIFORNIA,DOWNEY,CALIFORNIA,LOW,null,CA
120,153 N 11TH ST,BANGOR,null,null,LANDLINE,BANGOR MEDICAL CENTER FRANCIS J CINELLI DOCTORS,"IsMailable,IsConnected",6105884502,BUSINESS,18013-1603,COMMONWEALTH TELCO,BANGOR,PENNSYLVANIA,HIGH,"OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS,OFFICES AND CLINICS OF MEDICAL DOCTORS",PA
121,MEDICAL APPOINTMENTS,TAMPA,2019-07-18,28.061100,LANDLINE,UNIVERSITY OF SOUTH FLORIDA MEDICAL APPOINTMENTS,"IsMailable,IsConnected,IsPorted",8132590600,BUSINESS,33620-0001,MCI WORLDCOM COMM FL,TAMPA,FLORIDA,HIGH,COLLEGES AND UNIVERSITIES,FL
122,2597 SCHOENERSVILLE RD STE 307,BETHLEHEM,2008-01-28,null,LANDLINE,MELVIN L STEINBOOK MD PHYSICIANS SURGEONS,"IsMailable,IsConnected,IsPorted",4848843600,BUSINESS,18017-7331,"CTSI, INC. - PA",ALLENTOWN,PENNSYLVANIA,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS",PA
123,50 IRVING ST NW,WASHINGTON,2014-05-02,38.931238,LANDLINE,ERDULFO ANTONIO ROMERO JR MD INTERNAL MEDICINE,"IsMailable,IsConnected,IsPorted",2027458000,BUSINESS,20422-0001,CAVALIER TELEPHONE,WASHINGTON,DISTRICT OF COLUMBIA,HIGH,GENERAL MEDICAL AND SURGICAL HOSPITALS,DC
124,95 E CHAUTAUQUA ST,MAYVILLE,2007-08-02,42.257621,LANDLINE,MORTON CHRISTOPHER PA CLINICS MEDICAL,"IsMailable,IsConnected,IsPorted",7167537107,BUSINESS,14757-1017,DFT SELECT ONE-NY,JAMESTOWN,NEW YORK,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,MEDICAL FIELD-RELATED ASSOCIATIONS",NY
125,25 MOUNT EUSTIS RD,LITTLETON,null,null,LANDLINE,AMMONOOSUC COMMUNITY HEALTH SERVICES INC CLINICS,"IsMailable,IsConnected",6034442464,BUSINESS,03561-3712,CONSOLIDATED NH,LITTLETON,NEW HAMPSHIRE,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS,ACCIDENT AND HEALTH INSURANCE CARRIERS",NH
126,3334 CAPITAL MEDICAL BLVD STE 700,TALLAHASSEE,2018-07-27,30.475694,LANDLINE,TALLAHASSEE ORTHOPEDIC CLINIC PA DOCTORS,"IsMailable,IsConnected,IsPorted",8508778174,BUSINESS,32308-4483,ELECTRONET INTERMEDI,TALLAHASSEE,FLORIDA,HIGH,OFFICES OF HEALTH PRACTITIONER,FL
127,null,BLOOMINGTON,2018-05-22,null,LANDLINE,IU HLTH BLOOMIN,IsPorted,8123343955,BUSINESS,47408,TELEPORT COMM AM-IN,VINCENNES,INDIANA,LOW,"OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS",IN
128,null,null,null,null,LANDLINE,SC EASTCONWAY,IsConnected,8433478015,RESIDENTIAL,null,HORRY TEL COOP INC,CONWAY,SOUTH CAROLINA,MED,null,null
129,2201 LEXINGTON AVE,ASHLAND,null,38.469945,LANDLINE,KINGS DAUGHTERS MEDICAL CENTER EMERGENCY DEPT,"IsMailable,IsConnected",6063274565,BUSINESS,41101-2843,WINDSTREAM KY-LXGTN,ASHLAND,KENTUCKY,HIGH,GENERAL MEDICAL AND SURGICAL HOSPITALS,KY
130,null,RAYMOND,2010-05-11,null,LANDLINE,LAMPREY HEALTH CARE HEALTHCARE,"IsConnected,IsPorted",6038953351,BUSINESS,03077,FREEDOM RING LLC CLC,MANCHESTER,NEW HAMPSHIRE,HIGH,OFFICES AND CLINICS OF MEDICAL DOCTORS,NH
131,1328 22ND ST,SANTA MONICA,null,34.031452,LANDLINE,WOMEN'S HEALTH SERVICES AT SAINT JOHN'S HEALTH,IsMailable,3108298202,BUSINESS,90404-2032,FRONTIER CALIFORNIA,SANTA MONICA,CALIFORNIA,LOW,null,CA
132,1515 LOCUST ST,PITTSBURGH,null,40.437019,LANDLINE,STOFMAN GUY MD FACS,"IsMailable,IsConnected",4122325616,BUSINESS,15219-5131,VERIZON PENNSYLVANIA,PITTSBURGH,PENNSYLVANIA,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS,OFFICES OF HEALTH PRACTITIONER",PA
133,1705 WARREN AVE STE 206,WILLIAMSPORT,null,41.260143,LANDLINE,SUSQUEHANNA UROLOGIC ASSOCIATES LTD PHYSICIANS,"IsMailable,IsConnected",5703268090,BUSINESS,17701-2664,VERIZON PENNSYLVANIA,WILLIAMSPORT,PENNSYLVANIA,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS",PA
134,1 GUSTAVE L LEVY PL FL 12,NEW YORK,2019-04-17,40.790330,VOIP,GRECO GIAMPAOLO,"IsMailable,IsPorted",2126599567,RESIDENTIAL,10029-6500,"XO NEW YORK, INC.",NEW YORK CITY,NEW YORK,LOW,null,NY
135,318 N INDIAN HILL BLVD,CLAREMONT,2013-09-29,34.096909,LANDLINE,CLAREMONT PSYCHIATRIC CLINICS PSYCHIATRIC,"IsMailable,IsConnected,IsPorted",9096212050,BUSINESS,91711-4611,FRONTIER CALIFORNIA,SANTA MONICA,CALIFORNIA,HIGH,null,CA
136,null,SAN ANGELO,null,null,LANDLINE,WEST TEXAS MEDICAL ASSOCIATES,IsConnected,3252245871,BUSINESS,76901,FRONTIER COMM OF TX,SAN ANGELO,TEXAS,MED,null,TX
137,null,CHICAGO,2019-04-01,null,LANDLINE,NW MEMORIAL HOS,IsPorted,3126952857,BUSINESS,60611,TELEPORT COMM AM-IL,ELWOOD,ILLINOIS,LOW,null,IL
138,2500 METROHEALTH DR,CLEVELAND,2019-09-12,41.462773,LANDLINE,METROHEALTH MEDICAL CENTER,"IsMailable,IsPorted",2167784174,BUSINESS,44109-1900,TELEPORT COMM AM-OH,CLEVELAND,OHIO,LOW,null,OH
139,null,GUAYNABO,2005-06-03,null,LANDLINE,RADIATION THERAPY & CANCER INSTITUTE,IsPorted,7877745555,BUSINESS,00968,"AT&T, INC. - PR",GUAYNABO,PUERTO RICO,LOW,null,PR
140,699 ELM ST,BUFFALO,2010-03-02,null,LANDLINE,ROSWELL PARK CANCER INSTITUTE CHARITABLE,"IsConnected,IsPorted",7168452300,BUSINESS,14263,PAETEC COMM - NY,BUFFALO,NEW YORK,HIGH,ENDOCRINOLOGIST,NY
