RECSEQ	MESSAGE_ID	MESSAGE_NAME	EVENT_DATE	PROD_CAT	PROD_DESC	TOTAL_OPENS	TOTAL_CLICKS	TOTAL_BOUNCES	TOTAL_UNSUBS	TOTAL_SENDS	OPEN_RATE	CLICK_RATE	BOUNCE_RATE	UNSUB_RATE	DELIVERY_RATE	URL1	URL2	URL3	URL4	URL5
0000000116	21806	PROMO_HS_IHMI_Split_102017-PROMO_HS_IHMI_VER A_102017	2017/10/20 16:12:00	IHMI		14156	636	16	0	77324	18	4	0	         0	100		https://www.ama-assn.org/ihmi?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=promo_hs_ihmi_split_102017-promo_hs_ihmi_ver+a_102017&utm_campaign=promo_hs_ihmi_102017&utm_uid=10124352&utm_effort=	https://www.ama-assn.org/ihmi?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=promo_hs_ihmi_split_102017-promo_hs_ihmi_ver+a_102017&utm_campaign=promo_hs_ihmi_102017&utm_uid=9011146&utm_effort=	https://www.ama-assn.org/ihmi?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=promo_hs_ihmi_split_102017-promo_hs_ihmi_ver+a_102017&utm_campaign=promo_hs_ihmi_102017&utm_uid=9494929&utm_effort=	https://www.ama-assn.org/ihmi?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=promo_hs_ihmi_split_102017-promo_hs_ihmi_ver+a_102017&utm_campaign=promo_hs_ihmi_102017&utm_uid=9822490&utm_effort=
0000000117	21807	PROMO_HS_IHMI_Split_102017-PROMO_HS_IHMI_VER B_102017	2017/10/20 16:12:00	IHMI		13388	736	28	0	72584	18	5	0	         0	100		https://ama-ihmi.org/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=promo_hs_ihmi_split_102017-promo_hs_ihmi_ver+b_102017&utm_campaign=promo_hs_ihmi_102017&utm_uid=8963288&utm_effort=	https://ama-ihmi.org/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=promo_hs_ihmi_split_102017-promo_hs_ihmi_ver+b_102017&utm_campaign=promo_hs_ihmi_102017&utm_uid=10331907&utm_effort=	https://ama-ihmi.org/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=promo_hs_ihmi_split_102017-promo_hs_ihmi_ver+b_102017&utm_campaign=promo_hs_ihmi_102017&utm_uid=8781621&utm_effort=	https://ama-ihmi.org/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=promo_hs_ihmi_split_102017-promo_hs_ihmi_ver+b_102017&utm_campaign=promo_hs_ihmi_102017&utm_uid=11622166&utm_effort=
0000000118	21947	HS_CPT_Bundles_ 102417	2017/10/24 15:07:00	CPTApp		24946	20520	16	0	151488	16	82	0	         0	100		https://www.facebook.com/americanmedicalassociation?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cpt_bundles_+102417&utm_campaign=cpt_bundles_2017&utm_uid=10177418&utm_effort=	https://apps.ama-assn.org/profile/user/email-preferences?user_id=10258823&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cpt_bundles_+102417&utm_campaign=cpt_bundles_2017&utm_uid=10258823&utm_effort=	http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cpt_bundles_+102417&utm_campaign=cpt_bundles_2017&utm_uid=10124024~fhu&utm_effort=	http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cpt_bundles_+102417&utm_campaign=cpt_bundles_2017&utm_uid=10152294&utm_effort=
0000000119	22317	HS_October_Emails_Risk_Adjustment_103017	2017/10/30 13:59:00	CDI2017		20320	21416	28	0	153632	13	105	0	         0	100		https://plus.google.com/+americanmedicalassociation/posts?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_october_emails_risk_adjustment_103017&utm_campaign=hs_october_2017_emails_103017&utm_uid=10124024~iex&utm_effort=	https://www.facebook.com/americanmedicalassociation?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_october_emails_risk_adjustment_103017&utm_campaign=hs_october_2017_emails_103017&utm_uid=10366228&utm_effort=	https://www.youtube.com/user/amermedicalassn?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_october_emails_risk_adjustment_103017&utm_campaign=hs_october_2017_emails_103017&utm_uid=10124024~iex&utm_effort=	http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_october_emails_risk_adjustment_103017&utm_campaign=hs_october_2017_emails_103017&utm_uid=10102429~xpm&utm_effort=
0000000120	2232	HS_Transactional_Principles_Survey_072016	2016/07/20 11:00:00	PrinciplesCPT		10	1	0	0	309	3	10	         0	         0	100		https://www.surveymonkey.com/r/bqqq6r7?utm_source=selligent&utm_medium=email&utm_term=1469030429&utm_content=hs_transactional_principles_survey_072016&utm_campaign=health+solutions+principles+survey			
0000000121	22332	HS_ChannelMarketing_CPTProPrinciplesAppResellers_102617	2017/10/30 16:19:00	ChannelMarketing	CPTProPrinciplesAppResellers	215	0	0	0	736	29	         0	         0	         0	100					
0000000122	22333	HS_ChannelMarketing_CPTProPrinciplesAppAcademics_102617	2017/10/30 16:21:00	ChannelMarketing		456	417	0	0	2484	18	91	         0	         0	100		https://ama-assn.org/go/instructor-request?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_channelmarketing_cptproprinciplesappacademics_102617&utm_campaign=health+solutions+channel+marketing&utm_uid=10115528~usj&utm_effort=	https://ama-assn.org/go/instructor-request?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_channelmarketing_cptproprinciplesappacademics_102617&utm_campaign=health+solutions+channel+marketing&utm_uid=10237521~qwf&utm_effort=	https://ama-assn.org/go/instructor-request?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_channelmarketing_cptproprinciplesappacademics_102617&utm_campaign=health+solutions+channel+marketing&utm_uid=10254642~wql&utm_effort=	https://ama-assn.org/go/instructor-request?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_channelmarketing_cptproprinciplesappacademics_102617&utm_campaign=health+solutions+channel+marketing&utm_uid=10293040~blq&utm_effort=
0000000123	22363	HS_October_Emails_CPT Essentials_110117	2017/11/01 09:58:00	CPTEssentials		19129	7790	4	0	64576	30	41	0	         0	100		http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_october_emails_cpt+essentials_110117&utm_campaign=hs_october_2017_emails_103017&utm_uid=10102429~hfw&utm_effort=	http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_october_emails_cpt+essentials_110117&utm_campaign=hs_october_2017_emails_103017&utm_uid=10114915~tti&utm_effort=	http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_october_emails_cpt+essentials_110117&utm_campaign=hs_october_2017_emails_103017&utm_uid=10135956~zno&utm_effort=	http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_october_emails_cpt+essentials_110117&utm_campaign=hs_october_2017_emails_103017&utm_uid=10146358~wql&utm_effort=
0000000124	22377	HS_October_Emails_ICD-10_110317	2017/11/03 10:03:00	ICD102018		19896	7580	0	0	64228	31	38	         0	         0	100		http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_october_emails_icd-10_110317&utm_campaign=hs_october_2017_emails_103017&utm_uid=9766127&utm_effort=	http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_october_emails_icd-10_110317&utm_campaign=hs_october_2017_emails_103017&utm_uid=10102429~blq&utm_effort=	http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_october_emails_icd-10_110317&utm_campaign=hs_october_2017_emails_103017&utm_uid=10132550&utm_effort=	http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_october_emails_icd-10_110317&utm_campaign=hs_october_2017_emails_103017&utm_uid=10135956~rvg&utm_effort=
0000000125	22379	HS_October_Emails_Coding Cards_110517	2017/11/05 10:03:00	CodingCards2018		16992	7102	4	0	63252	27	42	0	         0	100		http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_october_emails_coding+cards_110517&utm_campaign=hs_october_2017_emails_103017&utm_uid=10102429~iex&utm_effort=	http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_october_emails_coding+cards_110517&utm_campaign=hs_october_2017_emails_103017&utm_uid=10135956~rvg&utm_effort=	http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_october_emails_coding+cards_110517&utm_campaign=hs_october_2017_emails_103017&utm_uid=10146358~yon&utm_effort=	http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_october_emails_coding+cards_110517&utm_campaign=hs_october_2017_emails_103017&utm_uid=10152294&utm_effort=
0000000126	22739	HS_Guides_111017	2017/11/10 16:20:00	Guides		131	5	1	1	152552	0	4	0	0	100		http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_guides_111017&utm_campaign=hs_guides_2017_111017&utm_uid=10102429~usj&utm_effort=	https://app.svwps.com/americanmedicalassociation/ama/preferencecenter/autounsub.html?user_id=10222761&amp;addr1_unsb_ec_gen=off&amp;utm_source=selligent&amp;utm_medium=email&amp;utm_term=%25m%25d%25y&amp;utm_content=hs_guides_111017&amp;utm_campaign=hs_gu	https://commerce.ama-assn.org/store/catalog/productdetail.jsp?product_id=prod1160002&amp;navaction=push&amp;utm_source=selligent&amp;utm_medium=email&amp;utm_term=%25m%25d%25y&amp;utm_content=hs_guides_111017&amp;utm_campaign=hs_guides_2017_111017&amp;utm	https://commerce.ama-assn.org/store/catalog/productdetail.jsp?product_id=prod1160002&navaction=push&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_guides_111017&utm_campaign=hs_guides_2017_111017&utm_uid=10346597&utm_effort=
0000000127	22844	HS_CPTChanges_111417	2017/11/14 10:00:00	CPTChanges2018		119	6	0	0	152284	0	5	         0	         0	100		https://commerce.ama-assn.org/store/catalog/productdetail.jsp?product_id=prod2800018&navaction=push&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cptchanges_111417&utm_campaign=hs_cptchanges_2017_111417&utm_uid=10283059&utm_ef	https://commerce.ama-assn.org/store/catalog/productdetail.jsp?product_id=prod2800018&amp;navaction=push&amp;utm_source=selligent&amp;utm_medium=email&amp;utm_term=%25m%25d%25y&amp;utm_content=hs_cptchanges_111417&amp;utm_campaign=hs_cptchanges_2017_111417		
0000000128	22877	HS_BYOP_111617	2017/11/16 10:00:00	BYOP2017		129	1	1	0	152712	0	1	0	         0	100		https://commerce.ama-assn.org/store/content/build-your-own-package?node_id=build%20your%20own%20package&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_byop_111617&utm_campaign=hs_byop_2017_111617&utm_uid=10334452&utm_effort=			
0000000129	2288	Health Solutions_Educators_072016	2016/07/20 15:00:00	ChannelMarketing		44	3	0	0	989	4	7	         0	         0	100		http://info.commerce.ama-assn.org/instructor-request?utm_source=selligent&utm_medium=email&utm_term=1469044815&utm_content=health+solutions_educators_072016&utm_campaign=hs_educators_072016	http://www.amastore.com?utm_source=selligent&utm_medium=email&utm_term=1469044815&utm_content=health+solutions_educators_072016&utm_campaign=hs_educators_072016	https://commerce.ama-assn.org/store/?utm_source=selligent&utm_medium=email&utm_term=1469044816&utm_content=health+solutions_educators_072016&utm_campaign=hs_educators_072016	
0000000130	23278	HS_CDI_SPLIT_TEST_112817-HS_CDI_SPLIT_VER A_112817	2017/11/28 10:05:00	CDI2017		213	0	0	0	32012	1	         0	         0	         0	100					
0000000131	23279	HS_CDI_SPLIT_TEST_112817-HS_CDI_SPLIT_VER B_112817	2017/11/28 10:05:00	CDI2017		47	0	0	0	31900	0	         0	         0	         0	100					
0000000132	23335	HS_CPTEssentials_SPLIT_113017-HS_CPTEssentials_SPLIT A_113017	2017/11/30 10:06:00	CPTEssentials		76	2	0	0	31820	0	3	         0	         0	100		https://commerce.ama-assn.org/store/catalog/subcategorydetail.jsp?category_id=cat1150007&navaction=push&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cptessentials_split_113017-hs_cptessentials_split+a_113017&utm_campaign=hs_c			
0000000133	23336	HS_CPTEssentials_SPLIT_113017-HS_CPTEssentials_SPLIT B_113017	2017/11/30 10:06:00	CPTEssentials		93	0	0	0	31804	0	         0	         0	         0	100					
0000000134	23410	HS_ChannelMarketing_CPTChangesResellers_120617	2017/12/06 10:01:00	ChannelMarketing	CPTChangesResellers	14	0	0	0	900	2	         0	         0	         0	100					
0000000135	23415	HS_ChannelMarketing_CPTChangesAcademics_120617	2017/12/06 10:01:00	ChannelMarketing	CPTChangesAcademics	3	0	0	0	2995	0	         0	         0	         0	100					
0000000136	2351	Health Solutions_Credentialing_Webinar_DID attend_072516	2016/07/25 11:11:00	Credentialing		145	8	0	0	437	33	6	         0	         0	100		http://info.commerce.ama-assn.org/ama-free-webinars?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=health+solutions_credentialing_webinar_did+attend_072516&utm_campaign=health+solutions+credentialing	http://cc.readytalk.com/play?id=biurqw&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=health+solutions_credentialing_webinar_did+attend_072516&utm_campaign=health+solutions+credentialing		
0000000137	2352	Health Solutions_Credentialing_Webinar_did not attend_072516	2016/07/25 11:10:00	Credentialing		1075	91	0	0	10691	10	8	         0	         0	100		http://cc.readytalk.com/play?id=biurqw&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=health+solutions_credentialing_webinar_did+not+attend_072516&utm_campaign=health+solutions+credentialing	http://info.commerce.ama-assn.org/ama-free-webinars?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=health+solutions_credentialing_webinar_did+not+attend_072516&utm_campaign=health+solutions+credentialing	https://commerce.ama-assn.org/amaprofiles/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=health+solutions_credentialing_webinar_did+not+attend_072516&utm_campaign=health+solutions+credentialing	http://info.commerce.ama-assn.org/ama-credentialing-services-home?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=health+solutions_credentialing_webinar_did+not+attend_072516&utm_campaign=health+solutions+credentialing
0000000138	23677	HS_ChannelMarketing_ CPTProAppAcademics_120817	2017/12/08 10:01:00	ChannelMarketing	 CPTProAppAcademics	19	0	0	0	3075	1	         0	         0	         0	100					
0000000139	23760	HS_GeneralMarketing_SymposiumPostShow_121017	2017/12/11 08:53:05	GeneralMarketing	SymposiumPostShow	157	1	0	0	769	20	1	         0	         0	100		https://commerce.ama-assn.org/store/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_generalmarketing_symposiumpostshow_121017&utm_campaign=hs_symposium_2017&utm_uid=8736891&utm_effort=			
0000000140	23991	HS_PrinciplesCPT_PromoTransactional_122217	2017/12/22 09:01:13	PrinciplesCPT	PromoTransactional	462	59	0	3	37702	1	13	         0	0	100		https://commerce.ama-assn.org/store/catalog/productdetail.jsp?product_id=prod2740011&navaction=push&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_principlescpt_promotransactional_122217&utm_campaign=hs_principles_cpt&utm_uid=1	https://app.svwps.com/americanmedicalassociation/ama/preferencecenter/autounsub.html?user_id=8636505&amp;addr1_unsb_ec_gen=off&amp;utm_source=selligent&amp;utm_medium=email&amp;utm_term=%25m%25d%25y&amp;utm_content=hs_principlescpt_promotransactional_1222	https://commerce.ama-assn.org/store/catalog/productdetail.jsp?product_id=prod2740011&navaction=push&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_principlescpt_promotransactional_122217&utm_campaign=hs_principles_cpt&utm_uid=8	https://commerce.ama-assn.org/store/catalog/productdetail.jsp?product_id=prod2740011&amp;navaction=push&amp;utm_source=selligent&amp;utm_medium=email&amp;utm_term=%25m%25d%25y&amp;utm_content=hs_principlescpt_promotransactional_122217&amp;utm_campaign=hs_
0000000141	24053	HS_ CPTSurveys2017_PromoTransactional_122017	2017/12/20 10:00:46	 CPTSurveys2017	PromoTransactional	302	8	1	3	35452	1	3	0	0	100		http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_+cptsurveys2017_promotransactional_122017&utm_campaign=hs_cptsurveys2017&utm_uid=10102429~yon&utm_effort=	https://app.svwps.com/americanmedicalassociation/ama/preferencecenter/autounsub.html?user_id=10339821&addr1_unsb_ec_gen=off&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_+cptsurveys2017_promotransactional_122017&utm_campaign=h	https://app.svwps.com/americanmedicalassociation/ama/preferencecenter/autounsub.html?user_id=10341529&addr1_unsb_ec_gen=off&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_+cptsurveys2017_promotransactional_122017&utm_campaign=h	https://app.svwps.com/americanmedicalassociation/ama/preferencecenter/autounsub.html?user_id=10354831&addr1_unsb_ec_gen=off&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_+cptsurveys2017_promotransactional_122017&utm_campaign=h
0000000142	24060	HS_CPTEssentials_PromoTransactional_122717-HS_CPTEssentials_PromoTransactional_VER A_122717	2017/12/27 10:01:13	CPTEssentials	PromoTransactional	339	30	0	2	18861	2	9	         0	0	100		https://commerce.ama-assn.org/store/catalog/subcategorydetail.jsp?category_id=cat1150007&navaction=push&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cptessentials_promotransactional_122717-hs_cptessentials_promotransactional_	http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cptessentials_promotransactional_122717-hs_cptessentials_promotransactional_ver+a_122717&utm_campaign=hs_cptessentials&utm_uid=10102429~eit&utm_effort=	https://app.svwps.com/americanmedicalassociation/ama/preferencecenter/autounsub.html?user_id=10324296&addr1_unsb_ec_gen=off&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cptessentials_promotransactional_122717-hs_cptessentials	https://app.svwps.com/americanmedicalassociation/ama/preferencecenter/autounsub.html?user_id=9012262&addr1_unsb_ec_gen=off&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cptessentials_promotransactional_122717-hs_cptessentials_
0000000143	24061	HS_CPTEssentials_PromoTransactional_122717-HS_CPTEssentials_PromoTransactional_VER B_122717	2017/12/27 10:01:01	CPTEssentials	PromoTransactional	324	16	0	2	18878	2	5	         0	0	100		https://commerce.ama-assn.org/store/catalog/subcategorydetail.jsp?category_id=cat1150007&navaction=push&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cptessentials_promotransactional_122717-hs_cptessentials_promotransactional_	http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cptessentials_promotransactional_122717-hs_cptessentials_promotransactional_ver+b_122717&utm_campaign=hs_cptessentials&utm_uid=10152294&utm_effort=	https://app.svwps.com/americanmedicalassociation/ama/preferencecenter/autounsub.html?user_id=10128518&addr1_unsb_ec_gen=off&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cptessentials_promotransactional_122717-hs_cptessentials	https://app.svwps.com/americanmedicalassociation/ama/preferencecenter/autounsub.html?user_id=8852081&addr1_unsb_ec_gen=off&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cptessentials_promotransactional_122717-hs_cptessentials_
0000000144	241	Health Solutions_GenMarketing-NonDoc_2017Packages_050416 - Split 1	2016/08/03 13:01:00	GenMarketing-NonDoc	2017Packages	27	2	0	0	0	         0	7	         0	         0	         0					
0000000145	242	Health Solutions_GenMarketing-NonDoc_2017Packages_050416 - Split 2	2016/08/03 09:52:00	CoreCoding2017		45	0	4	0	0	         0	         0	         0	         0	         0					
0000000146	24260	HS_CDI2017_PromoTransactional_122917-HS_CDI2017_PromoTransactional_122917_A	2017/12/29 10:00:55	CDI2017	PromoTransactional	639	49	0	4	18940	3	8	         0	0	100		https://commerce.ama-assn.org/store/catalog/productdetail.jsp?product_id=prod2850008&navaction=push&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cdi2017_promotransactional_122917-hs_cdi2017_promotransactional_122917_a&utm_cam	http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cdi2017_promotransactional_122917-hs_cdi2017_promotransactional_122917_a&utm_campaign=hs_cdi2017&utm_uid=10182996~wql&utm_effort=	https://app.svwps.com/americanmedicalassociation/ama/preferencecenter/autounsub.html?user_id=10128518&addr1_unsb_ec_gen=off&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cdi2017_promotransactional_122917-hs_cdi2017_promotransa	https://app.svwps.com/americanmedicalassociation/ama/preferencecenter/autounsub.html?user_id=10137027&addr1_unsb_ec_gen=off&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cdi2017_promotransactional_122917-hs_cdi2017_promotransa
0000000147	24261	HS_CDI2017_PromoTransactional_122917-HS_CDI2017_PromoTransactional_122917_B	2017/12/29 10:00:42	CDI2017	PromoTransactional	632	22	0	2	18826	3	3	         0	0	100		https://commerce.ama-assn.org/store/catalog/productdetail.jsp?product_id=prod2850008&navaction=push&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cdi2017_promotransactional_122917-hs_cdi2017_promotransactional_122917_b&utm_cam	https://app.svwps.com/americanmedicalassociation/ama/preferencecenter/autounsub.html?user_id=10374642&addr1_unsb_ec_gen=off&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cdi2017_promotransactional_122917-hs_cdi2017_promotransa	https://app.svwps.com/americanmedicalassociation/ama/preferencecenter/autounsub.html?user_id=10328144&addr1_unsb_ec_gen=off&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cdi2017_promotransactional_122917-hs_cdi2017_promotransa	https://app.svwps.com/americanmedicalassociation/ama/preferencecenter/autounsub.html?user_id=9135187&addr1_unsb_ec_gen=off&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_cdi2017_promotransactional_122917-hs_cdi2017_promotransac
0000000148	24262	HS_ChannelMarketing_PromoTransactional_122217_A	2017/12/22 09:02:36	ChannelMarketing	PromoTransactional	18	1	0	0	180	10	6	         0	         0	100		http://www.ama-assn.org?utm_source=selligent&amp;utm_medium=email&amp;utm_term=%25m%25d%25y&amp;utm_content=hs_channelmarketing_promotransactional_122217_a&amp;utm_campaign=hs_channel_marketing&amp;utm_uid=11180036&amp;utm_effort=			
0000000149	24263	HS_ChannelMarketing_PromoTransactional_122217_B	2017/12/22 09:02:35	ChannelMarketing	PromoTransactional	9	0	0	0	599	2	         0	         0	         0	100					
0000000150	24317	HS_ChannelMarketing_PromoTransactional_122917_A	2017/12/29 09:01:31	ChannelMarketing	PromoTransactional	52	14	0	1	179	29	27	         0	1	100		https://assets.ama-assn.org/java-apps/catalog/resellers-guide-oct-2017/html/index.html?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_channelmarketing_promotransactional_122917_a&utm_campaign=hs_channel_marketing&utm_uid=101383	http://www.ama-assn.org?utm_source=selligent&amp;utm_medium=email&amp;utm_term=%25m%25d%25y&amp;utm_content=hs_channelmarketing_promotransactional_122917_a&amp;utm_campaign=hs_channel_marketing&amp;utm_uid=6249123&amp;utm_effort=	http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_channelmarketing_promotransactional_122917_a&utm_campaign=hs_channel_marketing&utm_uid=10335506&utm_effort=	https://ama-assn.org/partner-resources/?utm_source=selligent&amp;utm_medium=email&amp;utm_term=%25m%25d%25y&amp;utm_content=hs_channelmarketing_promotransactional_122917_a&amp;utm_campaign=hs_channel_marketing&amp;utm_uid=6249123&amp;utm_effort=
0000000151	24318	HS_ChannelMarketing_PromoTransactional_122917_B	2017/12/29 09:01:29	ChannelMarketing	PromoTransactional	37	0	0	0	613	6	         0	         0	         0	100					
0000000152	24419	HS_ CPTSurveys2018_PromoTransactional_010818	2018/01/08 10:01:05	 CPTSurveys2018	PromoTransactional	4577	5280	0	46	35531	13	115	         0	0	100		https://www.surveymonkey.com/r/9xzvtsb?utm_source=selligent&amp;utm_medium=email&amp;utm_term=%25m%25d%25y&amp;utm_content=hs_+cptsurveys2018_promotransactional_010818&amp;utm_campaign=hs_cptsurveys2018&amp;utm_uid=10283059&amp;utm_effort=	https://app.svwps.com/americanmedicalassociation/ama/preferencecenter/autounsub.html?user_id=10233839&addr1_unsb_ec_gen=off&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_+cptsurveys2018_promotransactional_010818&utm_campaign=h	https://www.surveymonkey.com/r/9xzvtsb?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_+cptsurveys2018_promotransactional_010818&utm_campaign=hs_cptsurveys2018&utm_uid=10157540~zno&utm_effort=	https://www.surveymonkey.com/r/9xzvtsb?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_+cptsurveys2018_promotransactional_010818&utm_campaign=hs_cptsurveys2018&utm_uid=10283059&utm_effort=
0000000153	2459	Health Solutions_Transactional_Clinical Examples_072716	2016/07/27 10:00:00	ProductAlerts		11	0	0	0	124	9	         0	         0	         0	100					
0000000154	24911	HS_ CredentialingWebinars_Educational_011718	2018/01/17 10:32:53	 CredentialingWebinars	Educational	7585	8800	0	37	22141	34	116	         0	0	100		https://app.svwps.com/americanmedicalassociation/ama/preferencecenter/autounsub.html?user_id=9173709&addr1_unsb_crdtlg=off&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_+credentialingwebinars_educational_011718&utm_campaign=hs	https://cc.readytalk.com/r/wivckaeusy3i&eom?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_+credentialingwebinars_educational_011718&utm_campaign=hs_credentialingwebinars&utm_uid=8986385&utm_effort=	https://cc.readytalk.com/r/o3mahkoyfutj&eom?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_+credentialingwebinars_educational_011718&utm_campaign=hs_credentialingwebinars&utm_uid=9998824&utm_effort=	https://cc.readytalk.com/r/wivckaeusy3i&eom?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_+credentialingwebinars_educational_011718&utm_campaign=hs_credentialingwebinars&utm_uid=9825276&utm_effort=
