RECSEQ	EMPPID	ORDER_NO	LINE_NO	RETURN_DATE	CATALOG_ID	PROMO_CD	SHIPTO_CUSTID	BILLTO_CUSTID	PRODUCT_NO	RETURNED_QTY	PRICE_EACH	TAX_EACH	OTHER_CHARGE	DISCOUNT	REASON_CODE	REASON_DESC	CAMPAIGN_CODE	DEMO_CODE	INSERT_DTM	UPDATE_DTM	PRODUCT_DESC	VENDOR_NUMBER	VENDOR_NAME	PRODUCT_COST	DISCONTINUED	THEME_CODE	PRODLINE_DESC	AMA_PROD_NO	PRODUCT_LINE	PROMO_DESC	QTY_MAILED
0000000724	0000304111	46043603	000100	2019/04/19 00:00:00	4BO	4BOOK20	44928100	44928100	EP054119	0000000015	000093.56	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3		
0000000725	0000304131	45959826	000100	2018/02/12 00:00:00	4RE	4RESELL4	59640637	04145815	AP054118	0000000001	000040.07	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	4RE	SELL4			CPT 2018 SOFTBOUND EDITION9781622027392	976111	VISOGRAPHIC INC	2.95	N	4150AC35	Coding And Reimbursements	AP054118	3		
0000000726	0000304131	45959826	000100	2018/02/12 00:00:00	4RE	4RESELL4	59640637	04145815	AP142618S	0000000001	000025.86	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	4RE	SELL4			CPT FULL 2018 CODE SET FOR APP	000000	*NONE	.00	N	4131AC52	Coding And Reimbursements	AP142618S	3		
0000000727	0000304131	45959826	000100	2018/02/12 00:00:00	4RE	4RESELL4	59640637	04145815	AP500918S	0000000001	000017.24	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	4RE	SELL4			CPT ASST ELECTRONIC 1 YEAR SUB	000000	*NONE	.00	N	4131AC52	Coding And Reimbursements	AP500918S	3		
0000000728	0000304267	46024964	000200	2019/05/03 00:00:00	4BO	4BOOK20	77482861	77482861	OP214419	0000000016	000092.76	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			AHA ICD10CM&PCS HB W/O ANS 199781556484414	712992	HEALTH FORUM	69.57	N	4150BQ90	Coding And Reimbursements	OP214419	3		
0000000729	0000304267	46101184	000100	2019/07/17 00:00:00	4BO	4BOOK20	77482861	77482861	OP214419	0000000047	000092.76	0000000000	0000000000	0000000000	R4	NO REASON	4BO	OK20			AHA ICD10CM&PCS HB W/O ANS 199781556484414	712992	HEALTH FORUM	69.57	N	4150BQ90	Coding And Reimbursements	OP214419	3		
0000000730	0000304416	46076214	000100	2019/10/15 00:00:00	4BO	4BOOK20	33733892	33733892	EP054119	0000000006	000093.56	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3		
0000000731	0000305019	45987436	000500	2018/09/17 00:00:00	4BO	4BOOK25	44402025	44402025	OP214318	0000000020	000087.71	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK25			AHA ICD10CM & PCS HB W ANS 189781556484292	702279	HEALTH FORUM	70.17	N	4150BQ90	Coding And Reimbursements	OP214318	3		
0000000732	0000305019	46107371	000300	2019/10/15 00:00:00	4BO	4BOOK30	44402025	44402025	EP054119	0000000006	000087.71	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK30			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3		
0000000733	0000305019	46107371	000200	2019/10/15 00:00:00	4BO	4BOOK30	44402025	44402025	OP201419	0000000009	000081.71	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK30			ICD10CM 2019 W_ GUIDELINES9781622027736	000250	OPTUM - CUST 130006	15.15	N	4150BQ44	Coding And Reimbursements	OP201419	3		
0000000734	0000305019	46113971	000200	2019/10/21 00:00:00	THA	THAA10	44402025	44402025	OP201119	0000000010	000076.27	0000000000	0000000000	0000000000	R22	Overstock	THA	A10			ICD10PCS 2019 CODEBOOK9781622027750	000250	OPTUM - CUST 130006	14.80	N	4150BQ45	Coding And Reimbursements	OP201119	3		
0000000735	0000305229	45954563	000100	2018/03/06 00:00:00	FXZ	FXZ	75560621	75560621	OP054118	0000000003	000092.95	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	FXZ	UNK			CPT STANDARD 2018 SOFTBOUND9781622025985	933044	DONNELLEY RECEIVABLES	2.95	N	4150AC35	Coding And Reimbursements	OP054118	3		
0000000736	0000305413	46004766	000203	2018/10/09 00:00:00	CIX	CIX	37053079	37053079	AP142619	0000000001	000042.02	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	CIX	UNK			CPT QUICK REF W/FULL CODE SET	000000	*NONE	.00	N	4131AC52	Coding And Reimbursements	AP142619	3	ONLINE CATALOG ORD MEMBER	00498962
0000000737	0000305413	46004766	000202	2018/10/09 00:00:00	CIX	CIX	37053079	37053079	AP500919	0000000001	000028.01	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	CIX	UNK			CPT ASST ELECTRONIC 1 YEAR SUB	000000	*NONE	.00	N	4131AC52	Coding And Reimbursements	AP500919	3	ONLINE CATALOG ORD MEMBER	00498962
0000000738	0000305413	46004766	000201	2018/10/09 00:00:00	CIX	CIX	37053079	37053079	AP888819	0000000001	000081.92	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	CIX	UNK			CPT 2019 PROFESSIONAL EDITION9781622028825	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	AP888819	3	ONLINE CATALOG ORD MEMBER	00498962
0000000739	0000305483	45953789	000100	2018/01/05 00:00:00	FYY	FYYA14U	57791941	57791386	EP054118	0000000032	000093.56	0000000000	0000000000	0000000000	R11	CUSTOMER REFUSED	FYY	A14U			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000740	0000305483	45953789	000300	2018/01/05 00:00:00	FYY	FYYA14U	57791941	57791386	OP201418	0000000032	000083.96	0000000000	0000000000	0000000000	R11	CUSTOMER REFUSED	FYY	A14U			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3		
0000000741	0000305670	45956078	001000	2018/01/10 00:00:00	UNK	UNKMC	35748010	35748010	DL529918	0000000549	000017.50	0000000000	0000000000	0000000000	R18	CLIENT AUTHORIZED RETURN	UNK	MC			Additional number of HCPCS2018 Licenced Users	000000	*NONE	.00	N	2654AAA	Coding And Reimbursements	DL529918	3	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
0000000742	0000306464	45949911	000100	2018/09/28 00:00:00	FYX	FYXA10	28488337	28258216	EP054118	0000000002	000087.71	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	FYX	A10			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000743	0000306541	45957619	000100	2018/02/15 00:00:00	CIX	CIX	35900172	35900172	EP054117	0000000001	000114.95	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	CIX	UNK			CPT PROFESSIONAL 2017 SPIRAL9781622024001	861190	LSC COMMUNICATIONS	4.34	N	4150AC36	Coding And Reimbursements	EP054117	3	ONLINE CATALOG ORD MEMBER	00498962
0000000744	0000306634	45953850	000100	2018/10/05 00:00:00	4BO	4BOOK20	01874837	01874837	AP142618	0000000003	000033.62	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT QUICK REF W/FULL CODE SET	000000	*NONE	.00	N	4131AC52	Coding And Reimbursements	AP142618	3		
0000000745	0000306634	45953850	000100	2018/10/02 00:00:00	4BO	4BOOK20	01874837	01874837	AP142618	0000000012	000033.62	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT QUICK REF W/FULL CODE SET	000000	*NONE	.00	N	4131AC52	Coding And Reimbursements	AP142618	3		
0000000746	0000306634	45953850	000100	2018/10/05 00:00:00	4BO	4BOOK20	01874837	01874837	AP500918	0000000003	000022.41	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT ASST ELECTRONIC 1 YEAR SUB	000000	*NONE	.00	N	4131AC52	Coding And Reimbursements	AP500918	3		
0000000747	0000306634	45953850	000100	2018/10/02 00:00:00	4BO	4BOOK20	01874837	01874837	AP500918	0000000012	000022.41	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT ASST ELECTRONIC 1 YEAR SUB	000000	*NONE	.00	N	4131AC52	Coding And Reimbursements	AP500918	3		
0000000748	0000306634	45953850	000100	2018/10/05 00:00:00	4BO	4BOOK20	01874837	01874837	AP888818	0000000003	000065.53	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT 2018 PROFESSIONAL EDITION9781622027378	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	AP888818	3		
0000000749	0000306634	45953850	000100	2018/10/02 00:00:00	4BO	4BOOK20	01874837	01874837	AP888818	0000000012	000065.53	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT 2018 PROFESSIONAL EDITION9781622027378	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	AP888818	3		
0000000750	0000306754	45969594	000100	2018/06/13 00:00:00	TGD	TGDA10	25219401	28258216	EP054118	0000000001	000087.71	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	TGD	A10			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000751	0000306754	45988543	000100	2018/10/10 00:00:00	TGD	TGDA10	25219401	28258216	EP054118	0000000001	000081.87	0000000000	0000000000	0000000000	R9	DAMAGED/DEFECTIVE	TGD	A10			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000752	0000306978	45942859	000100	2018/04/18 00:00:00	4BO	4BOOK20	33989695	33989695	EP054118	0000000007	000093.56	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000753	0000306978	45942859	000200	2018/04/18 00:00:00	4BO	4BOOK20	33989695	33989695	OP201418	0000000005	000083.96	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3		
0000000754	0000306978	45942859	000300	2018/04/18 00:00:00	4BO	4BOOK20	33989695	33989695	OP231518	0000000009	000079.96	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			HCPCS 2018 SPIRAL9781622026128	787895	ELSEVIER	13.32	N	4150BP36	Coding And Reimbursements	OP231518	3		
0000000755	0000306978	46006369	000200	2018/11/14 00:00:00	4BO	4BOOK20	33989695	33989695	OP201119	0000000016	000087.16	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			ICD10PCS 2019 CODEBOOK9781622027750	000250	OPTUM - CUST 130006	14.17	N	4150BQ45	Coding And Reimbursements	OP201119	3		
0000000756	0000306978	46006369	000200	2018/10/30 00:00:00	4BO	4BOOK20	33989695	33989695	OP201119	0000000008	000087.16	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	4BO	OK20			ICD10PCS 2019 CODEBOOK9781622027750	000250	OPTUM - CUST 130006	14.17	N	4150BQ45	Coding And Reimbursements	OP201119	3		
0000000757	0000306978	46006369	000300	2019/03/12 00:00:00	4BO	4BOOK20	33989695	33989695	OP231519	0000000011	000083.96	0000000000	0000000000	0000000000	R4	NO REASON	4BO	OK20			HCPCS 2019 SPIRAL9781622027798	522347	ELSEVIER	10.86	N	4150BP36	Coding And Reimbursements	OP231519	3		
0000000758	0000307032	46063035	000300	2019/09/11 00:00:00	4BO	4BOOK20	01864620	01864620	OP214419	0000000004	000092.76	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			AHA ICD10CM&PCS HB W/O ANS 199781556484414	712992	HEALTH FORUM	69.57	N	4150BQ90	Coding And Reimbursements	OP214419	3		
0000000759	0000342802	45997379	000100	2018/09/10 00:00:00	F1VM	F1VV218	54842395	54842395	EP054118	0000000002	000082.95	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	F1V	V218			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000760	0000349214	45986294	000500	2018/07/05 00:00:00	TGMM	TGMA10	34205885	34205885	OP201418	0000000001	000077.03	0000000000	0000000000	0000000000	R6	CUSTOMER ORDERED WRONG ITEM	TGM	A10			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3		
0000000761	0000349214	45986294	000600	2018/07/05 00:00:00	TGMM	TGMA10	34205885	34205885	OP231518	0000000001	000075.15	0000000000	0000000000	0000000000	R6	CUSTOMER ORDERED WRONG ITEM	TGM	A10			HCPCS 2018 SPIRAL9781622026128	787895	ELSEVIER	13.32	N	4150BP36	Coding And Reimbursements	OP231518	3		
0000000762	0000387774	45962477	000100	2018/04/10 00:00:00	4BO	4BOOK20	60522777	60522777	EP054118	0000000001	000093.56	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000763	0000394889	45962909	000100	2018/02/26 00:00:00	FYTM	FYTA10	26570974	26570974	OP514618	0000000002	000071.20	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	FYT	A10			AAB-MEDICARE RBRVS 20189781622026142	000000	*NONE	.00	N	4150AC28	Coding And Reimbursements	OP514618	3		
0000000764	0000431112	45946123	000100	2018/02/12 00:00:00	4RE	4RESELL4	55532225	39077435	OP398418	0000000001	000137.25	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	4RE	SELL4			MedL Interv Radiol Coder 20189781631511776	814880	MEDLEARN	128.10	N	4150BP47	Coding And Reimbursements	OP398418	3		
0000000765	0000432613	45963316	000100	2018/03/01 00:00:00	UNK	UNKMC	60933517	60933517	OP258618	0000000001	000179.95	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	UNK	MC			CPT CE 2018: CARDIOLOGY9781622027064	035217	DECISION HEALTH	40.45	N	4150AC60	Coding And Reimbursements	OP258618	3	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
0000000766	0000433054	45963319	000100	2018/03/01 00:00:00	UNK	UNKMC	60748506	60748506	DL508818	0000000001	000199.95	0000000000	0000000000	0000000000	R4	NO REASON	UNK	MC			CPT/RVU 2018 DATA FILE SINGLE	000000	*NONE	.00	N	2654AAA	Coding And Reimbursements	DL508818	3	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
0000000767	0000433685	46085955	000100	2019/09/11 00:00:00	4BO	4BOOK20	31048034	31048034	EP054119	0000000015	000093.56	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3		
0000000768	0000433685	46085955	000200	2019/09/11 00:00:00	4BO	4BOOK20	31048034	31048034	OP231519	0000000014	000083.96	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			HCPCS 2019 SPIRAL9781622027798	522347	ELSEVIER	10.86	N	4150BP36	Coding And Reimbursements	OP231519	3		
0000000769	0000438573	45991063	000100	2018/10/10 00:00:00	4BO	4BOOK10	51098732	51098732	OP201418	0000000003	000094.46	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK10			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3		
0000000770	0000438573	45991582	000100	2018/10/10 00:00:00	4BO	4BOOK10	51098732	51098732	OP231518	0000000004	000089.96	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK10			HCPCS 2018 SPIRAL9781622026128	787895	ELSEVIER	13.32	N	4150BP36	Coding And Reimbursements	OP231518	3		
0000000771	0000439229	45963720	000100	2018/03/30 00:00:00	4RE	4RESELL4	61061271	04145815	AP054118	0000000001	000040.07	0000000000	0000000000	0000000000	R22	Overstock	4RE	SELL4			CPT 2018 SOFTBOUND EDITION9781622027392	976111	VISOGRAPHIC INC	2.95	N	4150AC35	Coding And Reimbursements	AP054118	3		
0000000772	0000481276	45964625	000100	2018/03/07 00:00:00	UNK	UNKMC	01595312	01595312	OP632316	0000000001	000059.95	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	UNK	MC			Code of Med Ethics of the AMA9781622025534	973744	WALSWORTH PUBLISHING COMPANY	7.25	N	4150BP25	Professional Standards	OP632316	7	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
0000000773	0000481563	45926094	000400	2018/01/12 00:00:00	FZBM	FZBA10	01573529	01573529	OP231518	0000000001	000073.55	0000000000	0000000000	0000000000	R10	INSUFFICIENT ADDRESS	FZB	A10			HCPCS 2018 SPIRAL9781622026128	787895	ELSEVIER	13.32	N	4150BP36	Coding And Reimbursements	OP231518	3		
0000000774	0000481694	45963922	000100	2018/09/13 00:00:00	4RE	4RESELL4	55513676	01233030	EP054118	0000000021	000079.53	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	4RE	SELL4			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000775	0000483067	45932700	000500	2018/02/26 00:00:00	UNKM	UNKMC	07004188	07004188	OP054118	0000000001	000065.95	0000000000	0000000000	0000000000	R6	CUSTOMER ORDERED WRONG ITEM	UNK	MC			CPT STANDARD 2018 SOFTBOUND9781622025985	933044	DONNELLEY RECEIVABLES	2.95	N	4150AC35	Coding And Reimbursements	OP054118	3	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
0000000776	0000483160	45963600	000100	2018/03/09 00:00:00	CIX	CIX	36103625	36103625	OP594018	0000000001	000199.95	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	CIX	UNK			OPTUM CODING COMP CARDIO 189781622543052	000250	OPTUM - CUST 130006	115.97	N	4150BP71	Coding And Reimbursements	OP594018	3	ONLINE CATALOG ORD MEMBER	00498962
0000000777	0000485073	45956714	000100	2018/03/23 00:00:00	CIX	CIX	35868881	35868881	OP593218	0000000001	000184.95	0000000000	0000000000	0000000000	R4	NO REASON	CIX	UNK			2018 Physician Fee & Coding Gd9781600990969	967521	INGAUGE HEALTHCARE SOLUTIONS	110.97	N	4150BP47	Coding And Reimbursements	OP593218	3	ONLINE CATALOG ORD MEMBER	00498962
0000000778	0000574559	45968644	000800	2018/03/23 00:00:00	UNK	UNKMC	12290297	62852180	EP054118	0000000006	000116.95	0000000000	0000000000	0000000000	R22	Overstock	UNK	MC			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
0000000779	0000574559	45968644	000900	2018/03/23 00:00:00	UNK	UNKMC	12290297	62852180	OP201418	0000000006	000104.95	0000000000	0000000000	0000000000	R22	Overstock	UNK	MC			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
0000000780	0000574559	45968644	001000	2018/03/23 00:00:00	UNK	UNKMC	12290297	62852180	OP231518	0000000006	000099.95	0000000000	0000000000	0000000000	R22	Overstock	UNK	MC			HCPCS 2018 SPIRAL9781622026128	787895	ELSEVIER	13.32	N	4150BP36	Coding And Reimbursements	OP231518	3	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
0000000781	0000574559	45968644	001101	2018/03/23 00:00:00	UNK	UNKMC	12290297	62852180	OP512918	0000000002	000079.95	0000000000	0000000000	0000000000	R22	Overstock	UNK	MC			CPT CHANGES2018:ANINSIDERSVIEW9781622026029	795727	WEBCRAFTERS	4.50	N	4150AC34	Coding And Reimbursements	OP512918	3	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
0000000782	0000574559	45968644	001100	2018/03/23 00:00:00	UNK	UNKMC	12290297	62852180	OP517518	0000000002	000059.96	0000000000	0000000000	0000000000	R22	Overstock	UNK	MC			CPT CHANGES 2018 USC9781622026029	000000	*NONE	.00	N	4150AC34	Coding And Reimbursements	OP517518	3	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
0000000783	0000574796	45965709	003000	2018/03/08 00:00:00	FYY	FYYA14U	61711991	61711991	OP201418	0000000001	000104.95	0000000000	0000000000	0000000000	R11	CUSTOMER REFUSED	FYY	A14U			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3		
0000000784	0000615162	45967709	000100	2018/03/30 00:00:00	FXZ	FXZ	62469009	62469009	EP054118	0000000001	000093.56	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	FXZ	UNK			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000785	0000615162	45967709	000200	2018/03/30 00:00:00	FXZ	FXZ	62469009	62469009	OP201418	0000000001	000104.95	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	FXZ	UNK			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3		
0000000786	0000616205	45967271	000100	2018/03/30 00:00:00	4DIM	4DIR1EX3	62312811	67304161	EP054118	0000000001	000081.87	0000000000	0000000000	0000000000	R17	CUSTOMER MOVED	4DI	R1EX3			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000787	0000616205	45967271	000200	2018/03/30 00:00:00	4DIM	4DIR1EX3	62312811	67304161	OP201418	0000000001	000073.47	0000000000	0000000000	0000000000	R17	CUSTOMER MOVED	4DI	R1EX3			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3		
0000000788	0000704473	45968529	000102	2018/04/06 00:00:00	CIX	CIX	36281050	36281049	OP025407	0000000001	000145.50	0000000000	0000000000	0000000000	R11	CUSTOMER REFUSED	CIX	UNK			Gdes Eval Perm Impair, 6th ED9781579478889	166757	SHERIDAN BOOKS	4.47	N	4150BQ65	Clinical	OP025407	8	ONLINE CATALOG ORD MEMBER	00498962
0000000789	0000757621	45956191	000301	2018/01/03 00:00:00	CIX	CIX	35845514	35845514	EP054118	0000000001	000067.42	0000000000	0000000000	0000000000	R10	INSUFFICIENT ADDRESS	CIX	UNK			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3	ONLINE CATALOG ORD MEMBER	00498962
0000000790	0000757621	45956191	000100	2018/01/03 00:00:00	CIX	CIX	35845514	35845514	OP201418	0000000001	000104.95	0000000000	0000000000	0000000000	R10	INSUFFICIENT ADDRESS	CIX	UNK			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3	ONLINE CATALOG ORD MEMBER	00498962
0000000791	0000760141	45963121	000100	2018/07/03 00:00:00	FYY	FYYA14M	60815781	60815781	EP054118	0000000001	000087.71	0000000000	0000000000	0000000000	R22	Overstock	FYY	A14M			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000792	0000760141	45963121	000400	2018/07/03 00:00:00	FYY	FYYA14M	60815781	60815781	OP231518	0000000001	000074.96	0000000000	0000000000	0000000000	R22	Overstock	FYY	A14M			HCPCS 2018 SPIRAL9781622026128	787895	ELSEVIER	13.32	N	4150BP36	Coding And Reimbursements	OP231518	3		
0000000793	0000760141	45963121	000200	2018/07/03 00:00:00	FYY	FYYA14M	60815781	60815781	OP501016	0000000001	000056.21	0000000000	0000000000	0000000000	R22	Overstock	FYY	A14M			PRINCIPLES OF CPT CODING 9E9781622025510	933044	DONNELLEY RECEIVABLES	13.75	N	4150AC24	Coding And Reimbursements	OP501016	3		
0000000794	0000761905	45969213	000200	2018/05/21 00:00:00	4RE	4RESELL4	74831901	33835231	OP201118	0000000001	000057.72	0000000000	0000000000	0000000000	R22	Overstock	4RE	SELL4			ICD10PCS 2018 CODEBOOK9781622026067	784010	OPTUMINSIGHT INC	16.20	N	4150BQ45	Coding And Reimbursements	OP201118	3		
0000000795	0000764998	45968596	000100	2018/04/16 00:00:00	FYTM	FYTA10	62844374	62844374	OP025407	0000000003	000143.00	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	FYT	A10			Gdes Eval Perm Impair, 6th ED9781579478889	166757	SHERIDAN BOOKS	4.47	N	4150BQ65	Clinical	OP025407	8		
0000000796	0000765227	45951484	000200	2017/12/28 00:00:00	FYS	FYSA10	57246433	57246433	EP054118	0000000001	000080.70	0000000000	0000000000	0000000000	R11	CUSTOMER REFUSED	FYS	A10			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000797	0000765227	45951484	000300	2017/12/28 00:00:00	FYS	FYSA10	57246433	57246433	OP201418	0000000001	000028.34	0000000000	0000000000	0000000000	R11	CUSTOMER REFUSED	FYS	A10			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3		
0000000798	0000809807	45942994	000100	2017/12/04 00:00:00	UNK	UNKMC	53065838	01357520	AP142618	0000000001	000000.00	0000000000	0000000000	0000000000	R4	NO REASON	UNK	MC			CPT QUICK REF W/FULL CODE SET	000000	*NONE	.00	N	4131AC52	Coding And Reimbursements	AP142618	3	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
0000000799	0000809807	45942994	000100	2017/12/04 00:00:00	UNK	UNKMC	53065838	01357520	AP500918	0000000001	000000.00	0000000000	0000000000	0000000000	R4	NO REASON	UNK	MC			CPT ASST ELECTRONIC 1 YEAR SUB	000000	*NONE	.00	N	4131AC52	Coding And Reimbursements	AP500918	3	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
0000000800	0000809807	45942994	000100	2017/12/04 00:00:00	UNK	UNKMC	53065838	01357520	AP888818	0000000001	000000.00	0000000000	0000000000	0000000000	R4	NO REASON	UNK	MC			CPT 2018 PROFESSIONAL EDITION9781622027378	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	AP888818	3	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
